,Название,Линия,lat,long
122,Сходненская,Таганско-Краснопресненская линия,55.85055555555556,37.439722222222215
123,Тушинская,Таганско-Краснопресненская линия,55.82666666666667,37.43666666666666
124,Спартак,Таганско-Краснопресненская линия,55.818333333333335,37.43583333333333
125,Щукинская,Таганско-Краснопресненская линия,55.808611111111105,37.46416666666667
126,Октябрьское Поле,Таганско-Краснопресненская линия,55.79361111111111,37.493611111111115
127,Полежаевская,Таганско-Краснопресненская линия,55.777499999999996,37.51916666666666
128,Беговая,Таганско-Краснопресненская линия,55.77388888888889,37.54666666666667
129,Улица 1905 года,Таганско-Краснопресненская линия,55.765,37.561388888888885
130,Баррикадная,Таганско-Краснопресненская линия,55.76111111111111,37.57944444444445
131,Пушкинская,Таганско-Краснопресненская линия,55.765,37.60777777777778
132,Кузнецкий Мост,Таганско-Краснопресненская линия,55.760555555555555,37.62583333333333
133,Китай-город,Таганско-Краснопресненская линия,55.75527777777778,37.63333333333333
134,Таганская,Таганско-Краснопресненская линия,55.74027777777778,37.65222222222222
135,Пролетарская,Таганско-Краснопресненская линия,55.731944444444444,37.66583333333333
136,Волгоградский проспект,Таганско-Краснопресненская линия,55.72527777777778,37.68694444444444
137,Текстильщики,Таганско-Краснопресненская линия,55.70888888888889,37.73166666666667
138,Кузьминки,Таганско-Краснопресненская линия,55.705555555555556,37.76555555555556
139,Рязанский проспект,Таганско-Краснопресненская линия,55.716944444444444,37.79333333333333
140,Выхино,Таганско-Краснопресненская линия,55.71555555555556,37.81805555555556
141,Лермонтовский проспект,Таганско-Краснопресненская линия,55.70138888888889,37.8525
142,Жулебино,Таганско-Краснопресненская линия,55.68555555555555,37.85638888888889
143,Котельники,Таганско-Краснопресненская линия,55.674166666666665,37.858333333333334
144,Третьяковская,Калининская линия,55.74111111111111,37.6275
145,Марксистская,Калининская линия,55.74111111111111,37.65416666666667
146,Площадь Ильича,Калининская линия,55.74722222222222,37.6825
147,Авиамоторная,Калининская линия,55.7525,37.719166666666666
148,Шоссе Энтузиастов,Калининская линия,55.7575,37.75
149,Перово,Калининская линия,55.75111111111111,37.78666666666666
150,Новогиреево,Калининская линия,55.751666666666665,37.81666666666667
151,Новокосино,Калининская линия,55.745,37.86388888888889
152,Деловой центр,Солнцевская линия,55.74916666666667,37.53944444444444
153,Парк Победы,Солнцевская линия,55.736111111111114,37.51833333333333
154,Минская,Солнцевская линия,55.724722222222226,37.49666666666667
155,Ломоносовский проспект,Солнцевская линия,55.70722222222223,37.51611111111111
156,Раменки,Солнцевская линия,55.6975,37.49861111111111
157,Мичуринский проспект,Солнцевская линия,55.68944444444444,37.48305555555556
158,Озёрная,Солнцевская линия,55.67055555555555,37.44833333333333
159,Говорово,Солнцевская линия,55.659444444444446,37.41722222222222
160,Солнцево,Солнцевская линия,55.64944444444444,37.39111111111111
161,Боровское шоссе,Солнцевская линия,55.647777777777776,37.37027777777778
162,Новопеределкино,Солнцевская линия,55.63972222222222,37.35527777777778
163,Рассказовка,Солнцевская линия,55.634166666666665,37.33527777777778
164,Пыхтино,Солнцевская линия,55.625,37.29805555555556
165,Аэропорт Внуково,Солнцевская линия,55.60722222222223,37.28777777777778
166,Алтуфьево,Серпуховско-Тимирязевская линия,55.89805555555556,37.58694444444445
167,Бибирево,Серпуховско-Тимирязевская линия,55.88388888888889,37.60333333333333
168,Отрадное,Серпуховско-Тимирязевская линия,55.86333333333334,37.60472222222222
169,Владыкино,Серпуховско-Тимирязевская линия,55.84722222222222,37.59
170,Петровско-Разумовская,Серпуховско-Тимирязевская линия,55.835,37.574444444444445
171,Тимирязевская,Серпуховско-Тимирязевская линия,55.8175,37.57638888888889
172,Дмитровская,Серпуховско-Тимирязевская линия,55.80694444444444,37.58166666666667
173,Савёловская,Серпуховско-Тимирязевская линия,55.79277777777778,37.58861111111111
174,Менделеевская,Серпуховско-Тимирязевская линия,55.78111111111111,37.60111111111111
175,Цветной бульвар,Серпуховско-Тимирязевская линия,55.770833333333336,37.618611111111115
176,Чеховская,Серпуховско-Тимирязевская линия,55.764722222222225,37.60916666666667
177,Боровицкая,Серпуховско-Тимирязевская линия,55.75111111111111,37.60722222222223
178,Полянка,Серпуховско-Тимирязевская линия,55.73777777777778,37.61805555555556
179,Серпуховская,Серпуховско-Тимирязевская линия,55.72805555555556,37.624722222222225
180,Тульская,Серпуховско-Тимирязевская линия,55.70861111111111,37.62277777777778
181,Нагатинская,Серпуховско-Тимирязевская линия,55.683055555555555,37.6225
182,Нагорная,Серпуховско-Тимирязевская линия,55.6725,37.61027777777778
183,Нахимовский проспект,Серпуховско-Тимирязевская линия,55.66277777777778,37.605555555555554
184,Севастопольская,Серпуховско-Тимирязевская линия,55.652499999999996,37.598333333333336
185,Чертановская,Серпуховско-Тимирязевская линия,55.64055555555556,37.60666666666667
186,Южная,Серпуховско-Тимирязевская линия,55.6225,37.60888888888889
187,Пражская,Серпуховско-Тимирязевская линия,55.612500000000004,37.60444444444445
188,Улица Академика Янгеля,Серпуховско-Тимирязевская линия,55.595,37.60027777777778
189,Аннино,Серпуховско-Тимирязевская линия,55.58277777777778,37.59666666666667
190,Бульвар Дмитрия Донского,Серпуховско-Тимирязевская линия,55.56916666666667,37.57694444444445
191,Физтех,Люблинско-Дмитровская линия,55.92166666666667,37.546388888888885
192,Лианозово,Люблинско-Дмитровская линия,55.89888888888889,37.54472222222222
193,Яхромская,Люблинско-Дмитровская линия,55.88,37.54527777777778
194,Селигерская,Люблинско-Дмитровская линия,55.86638888888889,37.54722222222222
195,Верхние Лихоборы,Люблинско-Дмитровская линия,55.85611111111111,37.56111111111111
196,Окружная,Люблинско-Дмитровская линия,55.846111111111114,37.573888888888895
197,Петровско-Разумовская,Люблинско-Дмитровская линия,55.835,37.574444444444445
198,Фонвизинская,Люблинско-Дмитровская линия,55.82277777777778,37.588055555555556
199,Бутырская,Люблинско-Дмитровская линия,55.81333333333333,37.60277777777778
200,Марьина Роща,Люблинско-Дмитровская линия,55.79527777777778,37.61611111111111
201,Достоевская,Люблинско-Дмитровская линия,55.781666666666666,37.615
202,Трубная,Люблинско-Дмитровская линия,55.76888888888889,37.62
203,Сретенский бульвар,Люблинско-Дмитровская линия,55.766666666666666,37.63916666666667
204,Чкаловская,Люблинско-Дмитровская линия,55.756388888888885,37.657222222222224
205,Римская,Люблинско-Дмитровская линия,55.74638888888889,37.68194444444444
206,Крестьянская застава,Люблинско-Дмитровская линия,55.73305555555556,37.66722222222222
207,Дубровка,Люблинско-Дмитровская линия,55.718611111111116,37.67611111111111
208,Кожуховская,Люблинско-Дмитровская линия,55.7075,37.684999999999995
209,Печатники,Люблинско-Дмитровская линия,55.69333333333333,37.72694444444445
210,Волжская,Люблинско-Дмитровская линия,55.69083333333333,37.753055555555555
211,Люблино,Люблинско-Дмитровская линия,55.67583333333333,37.76166666666666
212,Братиславская,Люблинско-Дмитровская линия,55.65972222222222,37.75055555555556
213,Марьино,Люблинско-Дмитровская линия,55.65,37.74305555555556
214,Борисово,Люблинско-Дмитровская линия,55.63333333333333,37.743611111111115
215,Шипиловская,Люблинско-Дмитровская линия,55.62111111111111,37.743611111111115
216,Зябликово,Люблинско-Дмитровская линия,55.612500000000004,37.74527777777778
217,Савёловская,Большая кольцевая линия,55.79333333333333,37.58694444444445
218,Петровский парк,Большая кольцевая линия,55.79194444444444,37.55722222222222
219,ЦСКА,Большая кольцевая линия,55.78666666666666,37.53333333333333
220,Хорошёвская,Большая кольцевая линия,55.776666666666664,37.51916666666666
221,Народное Ополчение,Большая кольцевая линия,55.77583333333333,37.485
222,Мнёвники,Большая кольцевая линия,55.76111111111111,37.47138888888889
223,Терехово,Большая кольцевая линия,55.74805555555556,37.459722222222226
224,Кунцевская,Большая кольцевая линия,55.72888888888889,37.44611111111111
225,Давыдково,Большая кольцевая линия,55.71527777777778,37.45166666666667
